종목코드,종목명,종가,대비,등락률,EPS,PER,선행EPS,선행PER,BPS,PBR,주당배당금,배당수익률
267250,HD현대,61400,0,0.00,-,-,16188,3.79,89404,0.69,5550,9.04
097230,HJ중공업,3750,90,2.46,-,-,-,-,5189,0.72,0,0.00
195940,HK이노엔,35600,-700,-1.93,984,36.18,1899,18.75,39819,0.89,320,0.90
014790,HLD&I,2915,-10,-0.34,1122,2.60,-,-,8822,0.33,100,3.43
028300,HLB,37700,-900,-2.33,-,-,-,-,4009,9.40,0,0.00
003580,HLB글로벌,7590,-110,-1.43,-,-,-,-,2559,2.97,0,0.00
067630,HLB생명과학,11650,-300,-2.51,-,-,-,-,2578,4.52,0,0.00
047920,HLB제약,13250,-200,-1.49,-,-,-,-,3004,4.41,0,0.00
115450,HLB테라퓨틱스,12700,-50,-0.39,-,-,-,-,3825,3.32,0,0.00
204320,HL만도,52000,0,0.00,3567,14.58,5349,9.72,41672,1.25,800,1.54
060980,HL홀딩스,31450,-450,-1.41,10531,2.99,10233,3.07,102145,0.31,2000,6.36
011200,HMM,18300,-700,-3.68,13506,1.35,11489,1.59,21179,0.86,600,3.28
403870,HPSP,57400,200,0.35,2130,26.95,4909,11.69,3157,18.18,0,0.00
036640,HRS,5280,-60,-1.12,1303,4.05,-,-,6224,0.85,200,3.79
082740,HSD엔진,6670,-10,-0.15,-,-,627,10.64,3511,1.90,0,0.00
351340,IBKS제13호스팩,2010,50,2.55,-,-,-,-,-,-,0,0.00
388790,IBKS제16호스팩,2460,-55,-2.19,-,-,-,-,-,-,0,0.00
405350,IBKS제17호스팩,2260,-35,-1.53,-,-,-,-,-,-,0,0.00
424760,IBKS제18호스팩,2060,10,0.49,-,-,-,-,-,-,0,0.00
426550,IBKS제19호스팩,2025,-5,-0.25,-,-,-,-,-,-,0,0.00
439730,IBKS제20호스팩,2000,-5,-0.25,-,-,-,-,-,-,0,0.00
003560,IHQ,522,-10,-1.88,-,-,-,-,800,0.65,0,0.00
095340,ISC,30750,400,1.32,2202,13.96,3532,8.71,14083,2.18,200,0.65
099520,ITX-AI,1285,0,0.00,-,-,-,-,311,4.13,0,0.00
175330,JB금융지주,7240,30,0.42,2510,2.88,3013,2.40,21392,0.34,599,8.27
234080,JW생명과학,11600,-100,-0.85,829,13.99,-,-,8492,1.37,500,4.31
067290,JW신약,3350,-45,-1.33,19,176.32,-,-,1206,2.78,0,0.00
001060,JW중외제약,18800,-400,-2.08,-,-,1863,10.09,8650,2.17,325,1.73
001067,JW중외제약2우B,65000,-900,-1.37,-,-,-,-,-,-,325,0.50
001065,JW중외제약우,35000,-100,-0.28,-,-,-,-,-,-,350,1.00
096760,JW홀딩스,2765,-45,-1.60,-,-,-,-,1356,2.04,90,3.25
035900,JYPEnt.,52900,-2600,-4.68,2038,25.96,2443,21.65,7451,7.10,369,0.70
318000,KBG,6130,30,0.49,494,12.41,-,-,3904,1.57,100,1.63
024840,KBI메탈,1380,-20,-1.43,-,-,-,-,2939,0.47,0,0.00
105560,KB금융,47500,-400,-0.84,11134,4.27,12001,3.96,121808,0.39,2940,6.19
024120,KB오토시스,3875,-40,-1.02,-,-,-,-,8880,0.44,120,3.10
002380,KCC,240500,-9000,-3.61,-,-,45069,5.34,657509,0.37,7000,2.91
021320,KCC건설,5890,40,0.68,2363,2.49,-,-,22186,0.27,180,3.06
344820,KCC글라스,39050,-600,-1.51,7353,5.31,-,-,87084,0.45,2400,6.15
036670,KCI,8540,-110,-1.27,944,9.05,-,-,7674,1.11,200,2.34
009070,KCTC,4090,5,0.12,681,6.01,-,-,7431,0.55,60,1.47
009440,KC그린홀딩스,2495,-5,-0.20,122,20.45,-,-,7257,0.34,70,2.81
119650,KC코트렐,2120,-35,-1.62,761,2.79,-,-,2787,0.76,0,0.00
044180,KD,767,-5,-0.65,-,-,-,-,1578,0.49,0,0.00
092220,KEC,2740,110,4.18,80,34.25,235,11.65,1884,1.45,0,0.00
151860,KGETS,10750,100,0.94,1389,7.74,-,-,8862,1.21,120,1.12
